CHAS,RM,TAX,PTRATIO,B,LSTAT,PRICE
0.0,6.575,296.0,15.3,396.9,4.98,24.0
0.0,6.421,242.0,17.8,396.9,9.14,21.6
0.0,7.185,242.0,17.8,392.83,4.03,34.7
0.0,6.998,222.0,18.7,394.63,2.94,33.4
0.0,7.147,222.0,18.7,396.9,5.33,36.2
0.0,6.43,222.0,18.7,394.12,5.21,28.7
0.0,6.012,311.0,15.2,395.6,12.43,22.9
0.0,6.172,311.0,15.2,396.9,19.15,27.1
0.0,5.631,311.0,15.2,386.63,29.93,16.5
0.0,6.004,311.0,15.2,386.71,17.1,18.9
0.0,6.377,311.0,15.2,392.52,20.45,15.0
0.0,6.009,311.0,15.2,396.9,13.27,18.9
0.0,5.889,311.0,15.2,390.5,15.71,21.7
0.0,5.949,307.0,21.0,396.9,8.26,20.4
0.0,6.096,307.0,21.0,380.02,10.26,18.2
0.0,5.834,307.0,21.0,395.62,8.47,19.9
0.0,5.935,307.0,21.0,386.85,6.58,23.1
0.0,5.99,307.0,21.0,386.75,14.67,17.5
0.0,5.456,307.0,21.0,288.99,11.69,20.2
0.0,5.727,307.0,21.0,390.95,11.28,18.2
0.0,5.57,307.0,21.0,376.57,21.02,13.6
0.0,5.965,307.0,21.0,392.53,13.83,19.6
0.0,6.142,307.0,21.0,396.9,18.72,15.2
0.0,5.813,307.0,21.0,394.54,19.88,14.5
0.0,5.924,307.0,21.0,394.33,16.3,15.6
0.0,5.599,307.0,21.0,303.42,16.51,13.9
0.0,5.813,307.0,21.0,376.88,14.81,16.6
0.0,6.047,307.0,21.0,306.38,17.28,14.8
0.0,6.495,307.0,21.0,387.94,12.8,18.4
0.0,6.674,307.0,21.0,380.23,11.98,21.0
0.0,5.713,307.0,21.0,360.17,22.6,12.7
0.0,6.072,307.0,21.0,376.73,13.04,14.5
0.0,5.95,307.0,21.0,232.6,27.71,13.2
0.0,5.701,307.0,21.0,358.77,18.35,13.1
0.0,6.096,307.0,21.0,248.31,20.34,13.5
0.0,5.933,279.0,19.2,396.9,9.68,18.9
0.0,5.841,279.0,19.2,377.56,11.41,20.0
0.0,5.85,279.0,19.2,396.9,8.77,21.0
0.0,5.966,279.0,19.2,393.43,10.13,24.7
0.0,6.595,252.0,18.3,395.63,4.32,30.8
0.0,7.024,252.0,18.3,395.62,1.98,34.9
0.0,6.77,233.0,17.9,385.41,4.84,26.6
0.0,6.169,233.0,17.9,383.37,5.81,25.3
0.0,6.211,233.0,17.9,394.46,7.44,24.7
0.0,6.069,233.0,17.9,389.39,9.55,21.2
0.0,5.682,233.0,17.9,396.9,10.21,19.3
0.0,5.786,233.0,17.9,396.9,14.15,20.0
0.0,6.03,233.0,17.9,392.74,18.8,16.6
0.0,5.399,233.0,17.9,396.9,30.81,14.4
0.0,5.602,233.0,17.9,396.9,16.2,19.4
0.0,5.963,243.0,16.8,395.56,13.45,19.7
0.0,6.115,243.0,16.8,393.97,9.43,20.5
0.0,6.511,243.0,16.8,396.9,5.28,25.0
0.0,5.998,243.0,16.8,396.9,8.43,23.4
0.0,5.888,469.0,21.1,396.9,14.8,18.9
0.0,7.249,226.0,17.9,395.93,4.81,35.4
0.0,6.383,313.0,17.3,396.9,5.77,24.7
0.0,6.816,256.0,15.1,392.9,3.95,31.6
0.0,6.145,284.0,19.7,390.68,6.86,23.3
0.0,5.927,284.0,19.7,396.9,9.22,19.6
0.0,5.741,284.0,19.7,395.11,13.15,18.7
0.0,5.966,284.0,19.7,378.08,14.44,16.0
0.0,6.456,284.0,19.7,396.9,6.73,22.2
0.0,6.762,284.0,19.7,395.58,9.5,25.0
0.0,7.104,216.0,18.6,393.24,8.05,33.0
0.0,6.29,337.0,16.1,396.9,4.67,23.5
0.0,5.787,337.0,16.1,396.9,10.24,19.4
0.0,5.878,345.0,18.9,396.21,8.1,22.0
0.0,5.594,345.0,18.9,396.9,13.09,17.4
0.0,5.885,345.0,18.9,396.9,8.79,20.9
